
    
<-<-<================================================================================>->->
    File generated by leekslazylogger v2.0.7 by eartharoid (http://leeks.js.org/logger)
    VPTickets | Log File
    Saturday, 13th February 2021, 09:36 am (America/Los_Angeles) -->
    Node: v14.15.4 on 'Windows' | Time format: 'HH:mm:ss' | Date format: 'YYYY-MM-DD'
<-<-<================================================================================>->->


[09:36:19 | INFO] Using SQLite storage
[09:36:22 | INFO] > AnWR Bot Loaded debug event
[09:36:22 | INFO] > AnWR Bot Loaded error event
[09:36:22 | INFO] > AnWR Bot Loaded message event
[09:36:22 | INFO] > AnWR Bot Loaded messageDelete event
[09:36:22 | INFO] > AnWR Bot Loaded messageReactionAdd event
[09:36:22 | INFO] > AnWR Bot Loaded messageUpdate event
[09:36:22 | INFO] > AnWR Bot Loaded rateLimit event
[09:36:22 | INFO] > AnWR Bot Loaded ready event
[09:36:22 | INFO] > AnWR Bot Loaded warn event
[09:36:22 | INFO] > AnWR Bot Loaded $add command
[09:36:22 | INFO] > AnWR Bot Loaded $close command
[09:36:22 | INFO] > AnWR Bot Loaded $delete command
[09:36:23 | INFO] > AnWR Bot Loaded $getback command
[09:36:23 | INFO] > AnWR Bot Loaded $help command
[09:36:23 | INFO] > AnWR Bot Loaded $new command
[09:36:23 | INFO] > AnWR Bot Loaded $panel command
[09:36:23 | INFO] > AnWR Bot Loaded $remove command
[09:36:23 | INFO] > AnWR Bot Loaded $rename command
[09:36:23 | INFO] > AnWR Bot Loaded $stats command
[09:36:23 | INFO] > AnWR Bot Loaded $tickets command
[09:36:23 | INFO] > AnWR Bot Loaded $topic command
[09:36:23 | INFO] > AnWR Bot Loaded $transfer command
[09:36:23 | INFO] AnWR Bot Loaded 9 events and 13 commands
[09:36:24 | INFO] Authenticated & Connected as VP Tickets#9215
[09:36:24 | INFO] 'ADMINISTRATOR' permission has been granted
[09:36:42 | INFO] AnWR#0707 إنشاء تذكرة جديدة (#تذكرة-61)
[09:37:06 | INFO] King-#5471 إنشاء تذكرة جديدة (#تذكرة-62)
[10:20:23 | INFO] AnWR#0707 used the 'close' command
[10:20:25 | INFO] AnWR#0707 اغلقت هذي التذكرة (#633717934488813581-62)
[10:20:36 | INFO] AnWR#0707 used the 'close' command
[10:20:39 | INFO] AnWR#0707 اغلقت هذي التذكرة (#477631881173532733-61)
[10:21:43 | INFO] King-#5471 إنشاء تذكرة جديدة (#تذكرة-63)
[14:55:47 | INFO] Twitch fiinzzy#1724 إنشاء تذكرة جديدة (#تذكرة-64)
